"","PRCC","p.Value","abs"
"crate_prevalence",0.127211146452965,5.48030643798266e-05,0.127211146452965
"food_conc",0.731574591500406,3.1825835559086e-168,0.731574591500406
"food_tc",0.121056740898739,0.000124301631354637,0.121056740898739
"p_zone4_intro",0.202158978188665,1.10706434260829e-10,0.202158978188665
"p11",0.386196503346079,6.4600940316629e-37,0.386196503346079
"tc11",0.198977207946604,2.18245137918828e-10,0.198977207946604
"tc33",-0.169674979510614,6.7361653803251e-08,0.169674979510614
