who,zone_item,x,y,zone,height,area,cleanable,equipment,part,out_links,in_links,undirected_links,max-contam-bout,contacts,transfers,food,zone_4,random
150,weigh-station,54,30,2,30,2500,FALSE,tray-packing,weighing,0,0,0,0,0,0,0,0,0
151,weigh-station,57,30,2,30,2500,FALSE,tray-packing,weighing,0,0,0,0,0,0,0,0,0
152,weigh-station,58,30,2,30,2500,FALSE,tray-packing,weighing,1,1,0,0,0,0,0,0,0
153,weigh-station,61,30,2,30,2500,FALSE,tray-packing,weighing,1,1,0,0,0,0,0,0,0
154,weigh-station,62,30,2,30,2500,FALSE,tray-packing,weighing,1,1,0,0,0,0,0,0,0
155,weigh-station,65,30,2,30,2500,FALSE,tray-packing,weighing,1,1,0,0,0,0,0,0,0
156,weigh-station,66,30,2,30,2500,FALSE,tray-packing,weighing,1,1,0,0,0,0,0,0,0
157,weigh-station,69,30,2,30,2500,FALSE,tray-packing,weighing,1,1,0,0,0,0,0,0,0
158,weigh-station,70,30,2,30,2500,FALSE,tray-packing,weighing,1,1,0,0,0,0,0,0,0
159,weigh-station,73,30,2,30,2500,FALSE,tray-packing,weighing,1,1,0,0,0,0,0,0,0
160,weigh-station,74,30,2,30,2500,FALSE,tray-packing,weighing,1,1,0,0,0,0,0,0,0
161,scanner,105,40,2,140,12500,FALSE,sorting,,1,2,0,0,0,0,0,0,0
162,reject-belt,113,39,1,180,20000,TRUE,sorting,belt,1,2,0,0,0,0,0,0,0
163,reject-belt,106,39,1,180,6250,TRUE,sorting,belt,1,1,0,0,0,0,0,0,0
164,reject-belt,65,37,1,180,203750,TRUE,sorting,belt,2,9,0,0,0,5,0,0,0
165,sorting-station,113,40,1,160,43750,TRUE,sorting,,3,1,2,0,0,0,0,0,0
166,belt,119,45,1,140,90625,TRUE,sorting,belt,1,1,2,0,0,0,0,0,0
167,produce-sticker,79,40,1,110,7500,FALSE,sorting,,1,0,0,0,0,0,0,0,0
168,produce-sticker,83,40,1,110,7500,FALSE,sorting,,1,0,0,0,0,0,0,0,0
169,workstation,103,36,2,140,5000,FALSE,workstation,,0,0,1,0,0,0,0,0,0
170,forklift,5,48,2,0,15000,FALSE,loading,forklift,0,0,5,212,33,233,0,1.587301587,0
171,forklift,11,32,2,0,15000,FALSE,reject,forklift,0,0,6,214,36,220,0,0,0
172,employee,57,49,1,250,156.25,TRUE,cleaning,culling,2,1,0,2,5,1,0,0,0
173,employee,57,53,1,250,156.25,TRUE,cleaning,culling,2,1,0,0,1,2,0,0,0
174,employee,70,45,3,250,156.25,TRUE,tray-packing,,0,0,12,0,0,0,0,0,0
175,employee,59,35,1,120,156.25,TRUE,tray-packing,,1,1,1,0,0,0,0,0,0
176,employee,60,35,1,120,156.25,TRUE,tray-packing,,1,1,1,0,0,0,0,0,0
177,employee,64,35,1,120,156.25,TRUE,tray-packing,,1,1,1,0,0,0,0,0,0
178,employee,67,35,1,120,156.25,TRUE,tray-packing,,1,1,1,0,0,0,0,0,0
179,employee,68,35,1,120,156.25,TRUE,tray-packing,,1,1,1,0,0,0,0,0,0
180,employee,71,35,1,120,156.25,TRUE,tray-packing,,1,1,1,0,0,0,0,0,0
