0	41
11	42
12	42
13	42
14	42
15	42
16	42
17	42
18	42
19	42
40	41
41	1
41	3
41	4
41	5
41	6
41	7
41	8
41	9
41	10
41	40
42	43
43	153
45	63
52	98
52	99
56	122
56	125
56	126
56	127
56	128
56	129
56	130
56	131
56	132
57	65
58	60
60	44
61	63
63	50
63	50
64	66
65	52
68	155
69	155
79	58
79	68
79	76
79	47
79	73
79	74
79	75
79	77
79	220
87	89
88	90
88	91
89	88
93	170
93	172
94	170
94	172
95	203
98	93
98	94
98	100
99	95
99	100
100	0
100	192
100	195
100	196
100	197
100	198
100	199
100	200
100	201
100	202
122	134
125	137
126	138
127	139
128	140
129	141
130	142
131	143
132	144
152	64
154	79
155	69
155	163
172	87
172	87
203	87
220	159
221	161
