11	178
11	1
11	181
12	178
12	3
12	183
13	178
13	4
13	184
14	178
14	5
14	185
15	178
15	6
15	186
16	178
16	7
16	187
17	178
17	8
17	188
18	178
18	9
18	189
19	178
19	10
19	190
20	223
41	177
44	45
44	57
44	169
46	47
46	48
46	49
46	50
46	51
46	66
46	67
46	70
46	71
46	72
46	73
46	74
46	75
46	76
46	77
46	84
46	85
46	86
46	158
46	160
46	164
46	165
52	53
53	54
55	166
56	115
56	116
56	117
56	118
56	119
56	120
57	45
57	59
57	62
57	168
60	55
60	61
61	45
62	65
78	79
80	222
81	219
88	205
93	170
94	170
100	97
100	173
101	142
101	142
101	200
102	142
102	142
102	200
103	143
103	143
103	201
104	143
104	143
104	201
105	144
105	144
105	202
106	144
106	144
106	202
107	134
107	134
107	192
108	137
108	137
108	195
109	138
109	110
109	138
109	196
110	138
110	138
110	196
111	139
111	139
111	197
112	140
112	140
112	198
112	206
113	141
113	114
113	141
113	199
114	141
114	141
114	199
133	191
134	192
135	193
136	194
137	195
138	196
139	197
140	198
141	199
142	200
143	201
144	202
152	57
152	45
154	81
154	82
154	78
156	157
176	180
207	21
208	107
211	108
212	109
212	110
213	111
214	112
215	113
215	114
216	101
216	102
217	103
217	104
218	105
218	106
220	221
222	163
223	153
