"","Var2","value","variable"
"1","crate_prevalence",0.127211146452965,"crate_prevalence"
"2","food_conc",0.731574591500406,"food_conc"
"3","food_tc",0.121056740898739,"food_tc"
"4","p_zone4_intro",0.202158978188665,"p_zone4_intro"
"5","p11",0.386196503346079,"p11"
"6","tc11",0.198977207946604,"tc11"
"7","tc33",-0.169674979510614,"tc33"
