"prevalence","scenario","water","week"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
7.54716981132075,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
3.77358490566038,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
3.77358490566038,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
7.54716981132075,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
9.43396226415094,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
7.54716981132075,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
28.3018867924528,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
11.3207547169811,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
5.66037735849057,"EC_04","Wet","1"
0,"EC_04","Wet","1"
33.9622641509434,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
9.43396226415094,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
5.66037735849057,"EC_04","Wet","1"
1.88679245283019,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
0,"EC_04","Wet","1"
5.26315789473684,"EC_04","Dry","1"
2.33918128654971,"EC_04","Dry","1"
7.01754385964912,"EC_04","Dry","1"
0.584795321637427,"EC_04","Dry","1"
5.84795321637427,"EC_04","Dry","1"
0,"EC_04","Dry","1"
2.33918128654971,"EC_04","Dry","1"
2.33918128654971,"EC_04","Dry","1"
0.584795321637427,"EC_04","Dry","1"
1.75438596491228,"EC_04","Dry","1"
0.584795321637427,"EC_04","Dry","1"
4.67836257309941,"EC_04","Dry","1"
0.584795321637427,"EC_04","Dry","1"
1.16959064327485,"EC_04","Dry","1"
4.67836257309941,"EC_04","Dry","1"
2.33918128654971,"EC_04","Dry","1"
4.67836257309941,"EC_04","Dry","1"
1.75438596491228,"EC_04","Dry","1"
3.50877192982456,"EC_04","Dry","1"
